City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Srednekolymsk,RU,67.45,153.6833,33.17,68,14,8.46,few clouds
235,Bengkulu,ID,-3.8004,102.2655,74.41,90,100,2.53,overcast clouds
236,Saint Anthony,US,45.0205,-93.218,70.99,73,20,8.05,few clouds
237,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.39,69,40,14.97,scattered clouds
238,Am Timan,TD,11.0297,20.2827,72.57,93,11,4.36,few clouds
239,Xicotencatl,MX,23.0167,-98.8833,90.14,51,68,5.84,broken clouds
240,Takoradi,GH,4.8845,-1.7554,75.43,87,29,9.51,scattered clouds
241,Vila Velha,BR,-20.3297,-40.2925,71.55,73,75,13.8,broken clouds
242,Zlobin,HR,45.2924,14.6541,53.58,82,20,5.75,few clouds
243,Leningradskiy,RU,69.3833,178.4167,33.24,98,100,21.79,light snow
244,Xam Nua,LA,20.4197,104.0439,65.68,99,20,1.34,few clouds
245,Eyl,SO,7.9803,49.8164,77.41,79,96,19.66,overcast clouds
246,Barzas,RU,55.7167,86.3167,40.24,80,15,1.28,few clouds
247,Praia Da Vitoria,PT,38.7333,-27.0667,75.76,91,49,9.08,scattered clouds
248,Post Falls,US,47.718,-116.9516,72.63,39,0,10.36,clear sky
249,Port Hardy,CA,50.6996,-127.4199,57.43,72,100,7.72,overcast clouds
250,Znamenskoye,RU,57.1281,73.8282,58.46,38,100,11.48,overcast clouds
251,Esna,EG,25.2934,32.554,84.92,18,0,7.4,clear sky
252,Quesnel,CA,52.9999,-122.5029,62.58,44,51,4.38,broken clouds
253,Victoria,HK,22.2855,114.1577,81.32,86,83,15.99,broken clouds
254,Coquimbo,CL,-29.9533,-71.3436,62.33,63,0,14.97,clear sky
255,Nikolsk,RU,53.7189,46.0712,64.94,80,49,16.55,scattered clouds
256,Severo-Kurilsk,RU,50.6789,156.125,51.31,94,93,15.3,overcast clouds
257,Barcelos,PT,41.5388,-8.6151,79.92,56,94,4.52,overcast clouds
258,Berlevag,NO,70.8578,29.0864,46.4,93,75,13.8,broken clouds
259,Zhigansk,RU,66.7697,123.3711,31.55,89,99,13.49,overcast clouds
260,Montepuez,MZ,-13.1256,38.9997,69.37,70,4,9.01,clear sky
261,Beyneu,KZ,45.3167,55.2,73.13,28,6,11.36,clear sky
262,Raisinghnagar,IN,29.5358,73.4492,88.03,39,0,6.13,clear sky
263,Faya,SA,18.3851,42.4509,70.32,51,81,3.89,broken clouds
264,Ilulissat,GL,69.2167,-51.1,42.82,93,100,1.14,light intensity drizzle
265,Lithgow,AU,-33.4833,150.15,42.69,80,82,15.23,broken clouds
266,Bouloupari,NC,-21.8667,166.05,66.11,80,19,3.4,few clouds
267,Dawlatabad,AF,36.4141,64.9053,71.35,25,0,0.31,clear sky
268,Kvarkeno,RU,52.0833,59.725,62.2,59,15,7.99,few clouds
269,Mangai,CD,-4.05,19.5333,67.19,95,92,1.74,overcast clouds
270,Benin,BJ,9.5,2.25,72.75,94,100,2.35,overcast clouds
271,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,68,0,13.8,clear sky
272,Vardo,NO,70.3705,31.1107,46.38,93,75,13.8,broken clouds
273,Cabo San Lucas,MX,22.8909,-109.9124,93.61,55,75,5.75,broken clouds
274,Grand Forks,US,47.9417,-97.4337,76.93,47,20,11.5,few clouds
275,Yar-Sale,RU,66.8333,70.8333,45.64,95,100,7.45,overcast clouds
276,Saskylakh,RU,71.9167,114.0833,31.55,98,100,5.93,snow
277,Zeya,RU,53.75,127.2667,33.42,77,84,14.52,broken clouds
278,Guerrero Negro,MX,27.9769,-114.0611,74.23,62,0,14.61,clear sky
279,Talnakh,RU,69.4865,88.3972,36.95,100,100,1.52,light rain
280,Shimoda,JP,34.6667,138.95,79.11,92,97,11.25,overcast clouds
281,Mineiros,BR,-17.5694,-52.5511,85.95,34,73,2.06,broken clouds
282,Sola,VU,-13.8833,167.55,80.33,80,84,24.7,broken clouds
