City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Ilulissat,GL,2022-09-12 22:31:42,69.2167,-51.1,46.42,81,75,11.5
108,Luderitz,NA,2022-09-12 22:31:42,-26.6481,15.1594,63.46,32,26,16.93
109,Sitka,US,2022-09-12 22:31:42,57.0531,-135.33,57.09,77,100,8.05
110,Yulara,AU,2022-09-12 22:31:43,-25.2406,130.9889,64.87,51,0,12.17
111,Faanui,PF,2022-09-12 22:31:43,-16.4833,-151.75,77.94,77,79,19.98
112,Akom,CM,2022-09-12 22:31:43,2.6678,12.7109,66.15,93,62,2.68
113,Cape Town,ZA,2022-09-12 22:27:35,-33.9258,18.4232,57.27,70,20,11.5
114,Bunia,CD,2022-09-12 22:31:43,1.5667,30.25,63.12,96,100,2.86
115,Myre,NO,2022-09-12 22:31:44,69.1036,15.9492,45.34,70,96,8.25
116,Touros,BR,2022-09-12 22:31:44,-5.1989,-35.4608,76.1,76,20,15.19
117,Lompoc,US,2022-09-12 22:31:29,34.6391,-120.4579,78.57,67,0,16.11
118,Rosario,AR,2022-09-12 22:29:22,-32.9468,-60.6393,66.94,27,0,6.91
119,Yokadouma,CM,2022-09-12 22:31:44,3.5167,15.05,68.38,94,67,1.72
120,Valdosta,US,2022-09-12 22:31:45,30.8327,-83.2785,83.91,81,40,8.05
121,Sibolga,ID,2022-09-12 22:31:45,1.7427,98.7792,75.24,88,65,2.51
122,Asheboro,US,2022-09-12 22:26:49,35.7079,-79.8136,82.04,92,100,4.61
123,Talnakh,RU,2022-09-12 22:31:45,69.4865,88.3972,33.21,94,100,3.91
124,Atar,MR,2022-09-12 22:31:46,20.5169,-13.0499,96.13,33,61,3.91
125,Crotone,IT,2022-09-12 22:31:46,39.0851,17.1178,70.2,54,0,8.43
126,Pangnirtung,CA,2022-09-12 22:31:46,66.1451,-65.7125,48.2,81,75,4.61
127,Sakhon Nakhon,TH,2022-09-12 22:31:46,17.1612,104.1472,74.01,89,47,0.83
128,Salalah,OM,2022-09-12 22:31:47,17.0151,54.0924,78.89,100,75,3.44
129,Fort Nelson,CA,2022-09-12 22:31:47,58.8053,-122.7002,63.99,36,40,2.3
130,Loknya,RU,2022-09-12 22:31:47,56.83,30.1467,46.92,98,100,3.42
131,Tshikapa,CD,2022-09-12 22:31:48,-6.4167,20.8,72.88,84,64,3.74
132,Pevek,RU,2022-09-12 22:31:48,69.7008,170.3133,34.84,93,99,5.73
133,Norman Wells,CA,2022-09-12 22:31:48,65.282,-126.8329,62.64,39,75,3.44
134,Montrose,US,2022-09-12 22:31:48,38.4166,-108.2673,78.21,17,25,11.97
135,Hammerfest,NO,2022-09-12 22:31:49,70.6634,23.6821,37.85,81,0,4.61
136,De-Kastri,RU,2022-09-12 22:31:49,51.4667,140.7833,49.23,95,100,18.75
137,Okato,NZ,2022-09-12 22:31:49,-39.2,173.8833,56.91,91,58,10.0
138,Lamu,KE,2022-09-12 22:31:50,-2.2717,40.902,75.42,84,78,16.2
139,Bonito,BR,2022-09-12 22:31:50,-21.1211,-56.4819,74.89,50,66,9.75
140,Thinadhoo,MV,2022-09-12 22:32:50,0.5333,72.9333,81.72,71,12,8.86
141,Bardiyah,LY,2022-09-12 22:32:50,31.7561,25.0865,76.87,71,0,17.74
142,Shingu,JP,2022-09-12 22:32:51,33.7333,135.9833,78.22,89,100,9.31
143,Road Town,VG,2022-09-12 22:32:51,18.4167,-64.6167,84.24,79,40,5.75
144,Mineral Wells,US,2022-09-12 22:32:51,32.8085,-98.1128,89.28,37,0,8.05
145,Samarai,PG,2022-09-12 22:32:52,-10.6167,150.6667,82.11,76,19,9.6
146,Krasnyy Chikoy,RU,2022-09-12 22:32:52,50.3643,108.7512,55.49,81,95,6.49
147,Qaanaaq,GL,2022-09-12 22:32:52,77.484,-69.3632,36.59,93,100,2.08
148,Khatanga,RU,2022-09-12 22:32:52,71.9667,102.5,33.46,77,98,7.76
149,Ancud,CL,2022-09-12 22:32:53,-41.8697,-73.8203,50.23,85,100,1.66
150,Beringovskiy,RU,2022-09-12 22:32:53,63.05,179.3167,45.84,64,29,20.22
151,Sao Filipe,CV,2022-09-12 22:32:53,14.8961,-24.4956,79.09,79,33,12.01
152,Gao,ML,2022-09-12 22:32:54,16.6362,1.637,92.32,31,100,9.98
153,Zinder,NE,2022-09-12 22:32:54,13.8072,8.9881,88.05,45,25,8.41
154,Banda Aceh,ID,2022-09-12 22:32:54,5.5577,95.3222,78.66,80,94,7.76
155,Fairbanks,US,2022-09-12 22:29:02,64.8378,-147.7164,63.61,59,100,3.44
156,Den Helder,NL,2022-09-12 22:32:46,52.9599,4.7593,66.18,88,100,10.0
157,Bosaso,SO,2022-09-12 22:32:55,11.2842,49.1816,90.03,51,12,2.82
158,Khandbari,NP,2022-09-12 22:32:55,27.3747,87.2039,69.8,93,100,1.05
159,Champerico,GT,2022-09-12 22:32:55,14.3,-91.9167,90.14,79,100,7.63
160,San Cristobal,VE,2022-09-12 22:32:55,7.7669,-72.225,73.58,91,87,1.05
161,Neuquen,AR,2022-09-12 22:30:22,-38.9516,-68.0591,66.09,27,0,4.61
162,Saquarema,BR,2022-09-12 22:32:56,-22.92,-42.5103,68.14,88,87,14.03
163,Hithadhoo,MV,2022-09-12 22:32:56,-0.6,73.0833,81.57,71,0,7.9
164,Severo-Kurilsk,RU,2022-09-12 22:32:56,50.6789,156.125,56.84,71,100,5.01
165,Tokmak,UA,2022-09-12 22:32:57,47.2514,35.7058,60.24,72,84,9.19
166,Hovd,MN,2022-09-12 22:32:57,48.0056,91.6419,49.1,28,100,1.74
167,Port Macquarie,AU,2022-09-12 22:32:57,-31.4333,152.9167,60.89,60,4,11.14
168,Guerrero Negro,MX,2022-09-12 22:32:57,27.9769,-114.0611,78.87,64,0,13.09
169,Belmonte,BR,2022-09-12 22:32:58,-15.8631,-38.8828,71.02,78,2,7.16
170,Xiamen,CN,2022-09-12 22:32:58,24.4798,118.0819,83.25,78,0,4.47
171,Nogales,MX,2022-09-12 22:32:58,31.3086,-110.9422,87.37,40,40,12.66
172,Nchelenge,ZM,2022-09-12 22:32:59,-9.3451,28.734,75.06,62,54,3.76
173,Cumana,VE,2022-09-12 22:32:59,10.4635,-64.1775,80.78,79,59,9.78
174,Vila Velha,BR,2022-09-12 22:32:59,-20.3297,-40.2925,73.35,87,75,5.75
175,Tamiahua,MX,2022-09-12 22:32:59,21.2667,-97.45,83.88,68,3,10.45
176,Rafai,CF,2022-09-12 22:33:00,4.95,23.9167,67.84,99,100,2.95
177,Campoverde,PE,2022-09-12 22:33:00,-8.4753,-74.8058,92.89,39,86,2.91
178,Virginia Beach,US,2022-09-12 22:30:14,36.8529,-75.978,89.02,66,0,10.36
179,Eagle Pass,US,2022-09-12 22:28:23,28.7091,-100.4995,94.26,42,29,8.61
180,Marrakesh,MA,2022-09-12 22:28:28,31.6315,-8.0083,77.07,61,40,6.91
181,Padang,ID,2022-09-12 22:33:00,-0.9492,100.3543,76.62,87,100,4.74
182,Sioux Lookout,CA,2022-09-12 22:33:01,50.1001,-91.917,75.27,46,40,6.91
183,Challans,FR,2022-09-12 22:33:01,46.8436,-1.8749,75.4,70,100,7.72
184,Stranda,NO,2022-09-12 22:33:01,62.3096,6.9358,57.6,95,85,2.91
185,Chingola,ZM,2022-09-12 22:33:02,-12.529,27.8838,66.31,35,4,4.32
186,Havelock,US,2022-09-12 22:34:02,34.8791,-76.9013,85.98,85,100,1.01
187,Chimbarongo,CL,2022-09-12 22:34:03,-34.7,-71.05,58.08,79,100,3.4
188,Tautira,PF,2022-09-12 22:34:03,-17.7333,-149.15,77.67,78,75,20.54
189,San Patricio,US,2022-09-12 22:34:03,28.017,-97.5169,93.15,45,17,10.29
190,Nicoya,CR,2022-09-12 22:34:04,10.1483,-85.452,77.27,90,100,3.62
191,Onguday,RU,2022-09-12 22:34:04,50.75,86.15,36.7,90,34,1.79
192,Raudeberg,NO,2022-09-12 22:34:04,61.9875,5.1352,54.95,41,83,19.84
193,Lisakovsk,KZ,2022-09-12 22:34:04,52.5369,62.4936,48.42,59,83,5.57
194,Sorong,ID,2022-09-12 22:34:05,-0.8833,131.25,77.5,89,100,9.22
195,Hilo,US,2022-09-12 22:34:05,19.7297,-155.09,85.28,71,0,6.91
196,Mananjary,MG,2022-09-12 22:34:05,-21.2167,48.3333,64.11,92,4,7.16
197,Dikson,RU,2022-09-12 22:34:06,73.5069,80.5464,38.44,69,100,18.41
198,Arraial Do Cabo,BR,2022-09-12 22:29:50,-22.9661,-42.0278,67.96,83,100,9.22
199,Chazuta,PE,2022-09-12 22:34:06,-6.5742,-76.1367,92.25,56,68,1.88
200,Westport,US,2022-09-12 22:30:36,41.1415,-73.3579,80.38,83,0,8.05
201,Vardo,NO,2022-09-12 22:34:06,70.3705,31.1107,40.98,93,100,4.61
202,Opuwo,NA,2022-09-12 22:34:07,-18.0607,13.84,68.45,25,0,4.18
203,Tazovskiy,RU,2022-09-12 22:34:07,67.4667,78.7,34.21,99,100,9.57
204,Amnat Charoen,TH,2022-09-12 22:34:07,15.9167,104.75,74.53,88,1,1.41
205,Shestakovo,RU,2022-09-12 22:34:08,56.4915,103.96,47.23,86,78,11.7
206,Komsomolskiy,UZ,2022-09-12 22:34:08,40.4272,71.7189,56.12,88,18,2.3
207,Rockingham,US,2022-09-12 22:34:08,42.9668,-71.0995,79.72,75,72,2.84
208,College,US,2022-09-12 22:34:08,64.8569,-147.8028,63.59,58,75,3.44
209,Praia,CV,2022-09-12 22:34:09,14.9215,-23.5087,79.5,80,98,13.62
210,Grand-Lahou,CI,2022-09-12 22:34:09,5.1367,-5.0242,72.97,90,90,7.85
211,Port Moresby,PG,2022-09-12 22:34:09,-9.4431,147.1797,76.42,94,20,8.05
212,Egvekinot,RU,2022-09-12 22:34:10,66.3167,-179.1667,36.28,96,100,15.93
213,Magdagachi,RU,2022-09-12 22:34:10,53.45,125.8,46.99,65,82,3.02
214,Mehamn,NO,2022-09-12 22:34:10,71.0357,27.8492,35.55,93,20,9.22
215,Lazaro Cardenas,MX,2022-09-12 22:29:58,17.9583,-102.2,79.16,80,100,1.28
216,Hobart,AU,2022-09-12 22:34:11,-42.8794,147.3294,47.26,76,75,10.36
217,Tala,EG,2022-09-12 22:33:03,30.6803,30.9429,72.37,92,0,4.32
